beta,e
-10.0,0.44839994
-9.96,0.44839989
-9.92,0.44839984
-9.88,0.44839979
-9.84,0.44839974
-9.8,0.44839969
-9.76,0.44839963
-9.72,0.44839957
-9.68,0.44839951
-9.64,0.44839945
-9.6,0.44839938
-9.56,0.44839931
-9.52,0.44839924
-9.48,0.44839916
-9.44,0.44839908
-9.4,0.448399
-9.36,0.44839891
-9.32,0.44839882
-9.28,0.44839872
-9.24,0.44839863
-9.2,0.44839852
-9.16,0.44839841
-9.12,0.4483983
-9.08,0.44839818
-9.04,0.44839805
-9.0,0.44839792
-8.96,0.44839778
-8.92,0.44839764
-8.88,0.44839749
-8.84,0.44839733
-8.8,0.44839716
-8.76,0.44839698
-8.72,0.4483968
-8.68,0.44839661
-8.64,0.4483964
-8.6,0.44839619
-8.56,0.44839596
-8.52,0.44839572
-8.48,0.44839547
-8.44,0.44839521
-8.4,0.44839494
-8.36,0.44839465
-8.32,0.44839434
-8.28,0.44839402
-8.24,0.44839369
-8.2,0.44839333
-8.16,0.44839296
-8.12,0.44839257
-8.08,0.44839216
-8.04,0.44839173
-8.0,0.44839127
-7.96,0.4483908
-7.92,0.44839029
-7.88,0.44838976
-7.84,0.44838921
-7.8,0.44838862
-7.76,0.448388
-7.72,0.44838735
-7.68,0.44838666
-7.64,0.44838593
-7.6,0.44838517
-7.56,0.44838437
-7.52,0.44838352
-7.48,0.44838262
-7.44,0.44838168
-7.4,0.44838069
-7.36,0.44837964
-7.32,0.44837853
-7.28,0.44837737
-7.24,0.44837614
-7.2,0.44837485
-7.16,0.44837349
-7.12,0.44837205
-7.08,0.44837053
-7.04,0.44836892
-7.0,0.44836723
-6.96,0.44836544
-6.92,0.44836355
-6.88,0.44836155
-6.84,0.44835945
-6.8,0.44835722
-6.76,0.44835487
-6.72,0.44835238
-6.68,0.44834975
-6.64,0.44834697
-6.6,0.44834403
-6.56,0.44834091
-6.52,0.44833762
-6.48,0.44833413
-6.44,0.44833044
-6.4,0.44832652
-6.36,0.44832237
-6.32,0.44831797
-6.28,0.44831331
-6.24,0.44830837
-6.2,0.44830315
-6.16,0.44829761
-6.12,0.44829174
-6.08,0.44828552
-6.04,0.44827893
-6.0,0.44827195
-5.96,0.44826454
-5.92,0.44825668
-5.88,0.44824833
-5.84,0.44823948
-5.8,0.44823008
-5.76,0.4482201
-5.72,0.4482095
-5.68,0.44819824
-5.64,0.44818628
-5.6,0.44817357
-5.56,0.44816006
-5.52,0.44814571
-5.48,0.44813047
-5.44,0.44811427
-5.4,0.44809706
-5.36,0.44807877
-5.32,0.44805935
-5.28,0.44803871
-5.24,0.44801679
-5.2,0.4479935
-5.16,0.44796877
-5.12,0.4479425
-5.08,0.4479146
-5.04,0.44788498
-5.0,0.44785351
-4.96,0.44782009
-4.92,0.4477846
-4.88,0.44774693
-4.84,0.44770694
-4.8,0.44766451
-4.76,0.44761952
-4.72,0.44757183
-4.68,0.4475213
-4.64,0.44746774
-4.6,0.447411
-4.56,0.44735089
-4.52,0.44728725
-4.48,0.4472199
-4.44,0.44714864
-4.4,0.4470733
-4.36,0.44699368
-4.32,0.44690961
-4.28,0.44682087
-4.24,0.44672721
-4.2,0.44662842
-4.16,0.44652423
-4.12,0.4464144
-4.08,0.44629873
-4.04,0.44617702
-4.0,0.44604908
-3.96,0.44591461
-3.92,0.44577336
-3.88,0.44562509
-3.84,0.44546944
-3.8,0.44530606
-3.76,0.44513455
-3.72,0.4449546
