beta,e
-10.0,0.03680563
-9.96,0.040442959
-9.92,0.044256483
-9.88,0.048236279
-9.84,0.052370853
-9.8,0.056647488
-9.76,0.061052466
-9.72,0.065570944
-9.68,0.070187776
-9.64,0.074887058
-9.6,0.079652703
-9.56,0.08446864
-9.52,0.089318973
-9.48,0.094188034
-9.44,0.099060414
-9.4,0.10392142
-9.36,0.10875701
-9.32,0.11355438
-9.28,0.11830138
-9.24,0.12298616
-9.2,0.12759821
-9.16,0.13212889
-9.12,0.13656983
-9.08,0.14091304
-9.04,0.145152
-9.0,0.14928126
-8.96,0.1532965
-8.92,0.1571942
-8.88,0.1609714
-8.84,0.164626
-8.8,0.16815667
-8.76,0.17156276
-8.72,0.17484431
-8.68,0.17800187
-8.64,0.18103624
-8.6,0.18394889
-8.56,0.18674159
-8.52,0.18941669
-8.48,0.19197651
-8.44,0.19442359
-8.4,0.196761
-8.36,0.19899167
-8.32,0.20111907
-8.28,0.20314696
-8.24,0.20507786
-8.2,0.20691512
-8.16,0.20866227
-8.12,0.21032286
-8.08,0.21190035
-8.04,0.21339752
-8.0,0.21481759
-7.96,0.21616379
-7.92,0.21743947
-7.88,0.21864751
-7.84,0.21979078
-7.8,0.22087215
-7.76,0.22189554
-7.72,0.22286288
-7.68,0.22377651
-7.64,0.224639
-7.6,0.22545269
-7.56,0.22622
-7.52,0.22694328
-7.48,0.22762453
-7.44,0.22826574
-7.4,0.22886884
-7.36,0.22943578
-7.32,0.22996854
-7.28,0.23046881
-7.24,0.23093808
-7.2,0.23137788
-7.16,0.23178981
-7.12,0.2321755
-7.08,0.23253615
-7.04,0.23287305
-7.0,0.2331874
-6.96,0.23348051
-6.92,0.2337537
-6.88,0.23400773
-6.84,0.23424343
-6.8,0.23446205
-6.76,0.23466461
-6.72,0.23485182
-6.68,0.23502405
-6.64,0.2351824
-6.6,0.23532722
-6.56,0.23545924
-6.52,0.23557931
-6.48,0.23568785
-6.44,0.23578549
-6.4,0.23587258
-6.36,0.23595049
-6.32,0.23601932
-6.28,0.23607903
-6.24,0.2361299
-6.2,0.23617232
-6.16,0.2362069
-6.12,0.23623465
-6.08,0.2362559
-6.04,0.2362706
-6.0,0.23627878
-5.96,0.23628151
-5.92,0.23627956
-5.88,0.23627211
-5.84,0.23625906
-5.8,0.23624057
-5.76,0.23621737
-5.72,0.23619031
-5.68,0.2361592
-5.64,0.23612395
-5.6,0.23608463
-5.56,0.23604163
-5.52,0.23599513
-5.48,0.23594509
-5.44,0.23589156
-5.4,0.23583467
-5.36,0.23577449
-5.32,0.2357112
-5.28,0.23564479
-5.24,0.23557534
-5.2,0.2355029
-5.16,0.23542766
-5.12,0.23534988
-5.08,0.23526933
-5.04,0.23518604
-5.0,0.23509999
-4.96,0.23501124
-4.92,0.23491989
-4.88,0.2348259
-4.84,0.23472917
-4.8,0.2346297
-4.76,0.23452753
-4.72,0.23442307
-4.68,0.23431609
-4.64,0.23420635
-4.6,0.23409378
-4.56,0.23397843
-4.52,0.23386074
-4.48,0.23374104
-4.44,0.23361845
-4.4,0.23349285
-4.36,0.23336435
-4.32,0.23323313
-4.28,0.23309897
-4.24,0.23296166
-4.2,0.23282114
-4.16,0.23267792
-4.12,0.23253242
-4.08,0.23238397
-4.04,0.23223223
-4.0,0.23207711
-3.96,0.23191857
-3.92,0.23175657
-3.88,0.23159091
-3.84,0.2314214
-3.8,0.23124787
-3.76,0.23107029
-3.72,0.23088855
-3.68,0.2307024
-3.64,0.23051166
-3.6,0.23031612
-3.56,0.23011572
-3.52,0.22991029
-3.48,0.22969955
-3.44,0.22948331
-3.4,0.22926129
-3.36,0.22903338
-3.32,0.22879932
-3.28,0.22855885
-3.24,0.22831168
-3.2,0.2280575
-3.16,0.22779606
-3.12,0.22752709
-3.08,0.22725027
-3.04,0.22696527
-3.0,0.22667174
-2.96,0.22636933
-2.92,0.22605768
-2.88,0.2257364
-2.84,0.2254051
-2.8,0.22506335
-2.76,0.22471071
-2.72,0.22434672
-2.68,0.22397089
-2.64,0.22358269
-2.6,0.2231816
-2.56,0.22276703
-2.52,0.22233838
-2.48,0.22189499
-2.44,0.2214362
