m1,Delta_1,e
0.05,-0.1,-0.23279197210258018
0.05,-0.2,-0.2368186620460486
0.05,-0.3,-0.24051357728865522
0.05,-0.4,-0.24387037392347694
0.05,-0.5,-0.24686526277894885
0.05,-0.6,-0.2494331080051995
0.05,-0.7,-0.2514930019114387
0.05,-0.8,-0.2529493957823021
0.05,-0.9,-0.25351953846027736
0.05,0.1,-0.22371501571022298
0.05,0.2,-0.21863035476505227
0.05,0.3,-0.21314733936629915
0.05,0.4,-0.20723329560944806
0.05,0.5,-0.20085194608087173
0.05,0.6,-0.19396652640162895
0.05,0.7,-0.18654470202238913
0.05,0.8,-0.17856538448681622
0.05,0.9,-0.1700268082618619
0.05,0.0,-0.22842860455209812
0.1,-0.1,-0.22898683690753174
0.1,-0.2,-0.23384337088632767
0.1,-0.3,-0.23830596248931243
0.1,-0.4,-0.2423745589763404
0.1,-0.5,-0.2460235911311935
0.1,-0.6,-0.24917341045830663
0.1,-0.7,-0.2515800208758497
0.1,-0.8,-0.25321523150148073
0.1,-0.9,-0.25389634923650206
0.1,0.1,-0.21802857479644572
0.1,0.2,-0.21188080227875097
0.1,0.3,-0.2052552091398295
0.1,0.4,-0.19813252066246503
0.1,0.5,-0.19050225810389676
0.1,0.6,-0.1823670686782148
0.1,0.7,-0.17374665127449437
0.1,0.8,-0.164680494032134
0.1,0.9,-0.1552286055118513
0.1,0.0,-0.22372239597527263
0.2,-0.1,-0.21345948629442732
0.2,-0.2,-0.22015521186129083
0.2,-0.3,-0.22645303002490583
0.2,-0.4,-0.23237374477678338
0.2,-0.5,-0.2379295056869889
0.2,-0.6,-0.24309480346535173
0.2,-0.7,-0.24769799898470704
0.2,-0.8,-0.25073736348509756
0.2,-0.9,-0.2523317288980673
0.2,0.1,-0.19881202794176628
0.2,0.2,-0.19085363723164625
0.2,0.3,-0.18248890034273713
0.2,0.4,-0.1737480313195364
0.2,0.5,-0.16467531033853666
0.2,0.6,-0.15532773492603086
0.2,0.7,-0.14577256747653197
0.2,0.8,-0.13608398620993112
0.2,0.9,-0.1263392095267194
0.2,0.0,-0.20634813927960954
0.3,-0.1,-0.19265469917051412
0.3,-0.2,-0.20074775007665738
0.3,-0.3,-0.20852769643136784
0.3,-0.4,-0.21601464921375543
0.3,-0.5,-0.2232489008866907
0.3,-0.6,-0.23028666799695127
0.3,-0.7,-0.23717836850818733
0.3,-0.8,-0.24353076911019098
0.3,-0.9,-0.24733571308878632
0.3,0.1,-0.17554362608147797
0.3,0.2,-0.166573927642374
0.3,0.3,-0.15738286775736118
0.3,0.4,-0.14802420455206236
0.3,0.5,-0.13855812031266687
0.3,0.6,-0.12904796919920308
0.3,0.7,-0.11955714101240825
0.3,0.8,-0.11014626389192926
0.3,0.9,-0.10087092816818452
0.3,0.0,-0.18424778306708992
0.4,-0.1,-0.16980607135274878
0.4,-0.2,-0.1787222521186481
0.4,-0.3,-0.1874512943533368
0.4,-0.4,-0.19599599711451252
0.4,-0.5,-0.2043895737155065
0.4,-0.6,-0.21270888671076438
0.4,-0.7,-0.22109505293947057
0.4,-0.8,-0.22981270105606777
0.4,-0.9,-0.2379218226543881
0.4,0.1,-0.1515026264757532
0.4,0.2,-0.14219356158315946
0.4,0.3,-0.1328446100205962
0.4,0.4,-0.12350857638791711
0.4,0.5,-0.11423783385376285
0.4,0.6,-0.10508193924585574
0.4,0.7,-0.09608584394408354
0.4,0.8,-0.08728869200896144
0.4,0.9,-0.07872316153472848
0.4,0.0,-0.16072153249218443
0.5,-0.1,-0.14668991043366766
0.5,-0.2,-0.1559225138351986
0.5,-0.3,-0.16510189388125748
0.5,-0.4,-0.17421457822304307
0.5,-0.5,-0.18327306265711021
0.5,-0.6,-0.19233298927212156
0.5,-0.7,-0.201525353838706
0.5,-0.8,-0.2111279079924429
0.5,-0.9,-0.22198572236086012
