m1,Delta_1,e
0.05,-0.1,-0.4118193019691498
0.05,-0.2,-0.4049881138747337
0.05,-0.3,-0.39722777306638196
0.05,-0.4,-0.3883591107379168
0.05,-0.5,-0.37815305188553267
0.05,-0.6,-0.36637801901953304
0.05,-0.7,-0.3524383231599421
0.05,-0.8,-0.334757696568308
0.05,-0.9,-0.3093815545515169
0.05,0.1,-0.4232105360971374
0.05,0.2,-0.42795432135723466
0.05,0.3,-0.43214789386040386
0.05,0.4,-0.43583123598237655
0.05,0.5,-0.4390282698429624
0.05,0.6,-0.44174837134564354
0.05,0.7,-0.443988144221256
0.05,0.8,-0.4457341897388212
0.05,0.9,-0.4469674473662065
0.05,0.0,-0.41785853983735355
0.1,-0.1,-0.4191478706692858
0.1,-0.2,-0.41234207784865456
0.1,-0.3,-0.40443617896798023
0.1,-0.4,-0.3951724763686906
0.1,-0.5,-0.3841980768194733
0.1,-0.6,-0.37110950430563927
0.1,-0.7,-0.35615095775932815
0.1,-0.8,-0.3379502050699095
0.1,-0.9,-0.3124621464851014
0.1,0.1,-0.430132955979939
0.1,0.2,-0.43452584629976676
0.1,0.3,-0.4382717405820973
0.1,0.4,-0.4414063528932344
0.1,0.5,-0.4439502362972552
0.1,0.6,-0.4459143488343371
0.1,0.7,-0.44730528102675066
0.1,0.8,-0.44813019329053977
0.1,0.9,-0.44840118058309564
0.1,0.0,-0.42503585421996337
0.2,-0.1,-0.43096699204553857
0.2,-0.2,-0.42539290829634924
0.2,-0.3,-0.4186221959019642
0.2,-0.4,-0.41031266303682035
0.2,-0.5,-0.39989212761610937
0.2,-0.6,-0.38637413262926984
0.2,-0.7,-0.36816914449550725
0.2,-0.8,-0.347730241967565
0.2,-0.9,-0.3217950650880266
0.2,0.1,-0.4392921215289719
0.2,0.2,-0.44226528239625906
0.2,0.3,-0.44453609153909773
0.2,0.4,-0.4461509027429747
0.2,0.5,-0.4471492252350448
0.2,0.6,-0.44756901727151616
0.2,0.7,-0.4474499659646843
0.2,0.8,-0.44683515687378
0.2,0.9,-0.4457714454819277
0.2,0.0,-0.4355554049086504
0.3,-0.1,-0.43854942792842705
0.3,-0.2,-0.43470178869712117
0.3,-0.3,-0.4297725680753338
0.3,-0.4,-0.42346831888832964
0.3,-0.5,-0.4152702875520347
0.3,-0.6,-0.4041877385065409
0.3,-0.7,-0.38811143560479705
0.3,-0.8,-0.3636648415016273
0.3,-0.9,-0.335613531637116
0.3,0.1,-0.44365147902180607
0.3,0.2,-0.4451065777123527
0.3,0.3,-0.44592545676285233
0.3,0.4,-0.4461660568810306
0.3,0.5,-0.4458826998664436
0.3,0.6,-0.4451285403419468
